"Idades
Exatas
(X)";"Probabilidades de Morte
entre Duas Idades Exatas
Q (X, N) (Por Mil)";"Óbitos
D (X, N)";"l ( X )";"L (X, N)";"T(X)";"Expectativa de Vida
à Idade X
E(X)";"ano"
"41";"2.96379854979312";"276.705591393399";"93361.8080799434";"93223.4552842466";"3491908.58979041";"37.4018955031417";2012
"42";"3.16742016955544";"294.839631107369";"93085.10248855";"92937.6826729963";"3398685.13450616";"36.511590401098";2012
"43";"3.39934943279557";"315.4265274134";"92790.2628574426";"92632.5495937359";"3305747.45183317";"35.62601667496";2012
"44";"3.65844953229433";"338.31452172059";"92474.8363300292";"92305.6790691689";"3213114.90223943";"34.7458295657025";2012
"45";"3.94156754441332";"363.16232401476";"92136.5218083086";"91954.9406463012";"3120809.22317026";"33.871576242732";2012
"46";"4.24677208345085";"389.740541062399";"91773.3594842938";"91578.4892137626";"3028854.28252396";"33.0036330754822";2012
"47";"4.57556556401738";"418.131739951936";"91383.6189432314";"91174.5530732555";"2937275.7933102";"32.1422573025355";2012
"48";"4.92801155708735";"448.278972233843";"90965.4872032795";"90741.3477171626";"2846101.24023694";"31.287704026438";2012
"49";"5.30546568538529";"480.235942206688";"90517.2082310457";"90277.0902599423";"2755359.89251978";"30.4401775791263";2012
"50";"5.71164498607322";"514.25922133476";"90036.972288839";"89779.8426781716";"2665082.80225984";"29.599871414048";2012
"51";"6.14714011881246";"550.308661042191";"89522.7130675042";"89247.5587369831";"2575302.95958167";"28.7670343239014";2012
"52";"6.60992528989711";"588.100945989226";"88972.404406462";"88678.3539334674";"2486055.40084468";"27.9418704870262";2012
"53";"7.10045779340851";"627.569016320897";"88384.3034604728";"88070.5189523123";"2397377.04691122";"27.1244661444141";2012
"54";"7.62209706591451";"668.890348121009";"87756.7344441519";"87422.2892700914";"2309306.5279589";"26.3148639541566";2012
"55";"8.18885471004459";"713.149702313411";"87087.8440960309";"86731.2692448742";"2221884.23868881";"25.5131386217204";2012
"56";"8.79841233315874";"759.9601764265";"86374.6943937175";"85994.7143055042";"2135152.96944394";"24.7196587430038";2012
"57";"9.43671124251727";"807.921524913437";"85614.734217291";"85210.7734548343";"2049158.25513843";"23.9346448233741";2012
"58";"10.1012564904998";"856.655367147478";"84806.8126923775";"84378.4850088038";"1963947.4816836";"23.1578975713601";2012
"59";"10.8060983820045";"907.173659241191";"83950.15732523";"83496.5704956094";"1879568.9966748";"22.3891063049851";2012
"60";"11.5641158258559";"960.318681638157";"83042.9836659888";"82562.8243251698";"1796072.42617919";"21.6282260931671";2012
"61";"12.4025903189353";"1018.03766608731";"82082.6649843507";"81573.646151307";"1713509.60185402";"20.8754138548097";2012
"62";"13.3478915337021";"1082.04185266416";"81064.6273182634";"80523.6063919313";"1631935.95570271";"20.131295358895";2012
"63";"14.4223591087419";"1153.53757003051";"79982.5854655992";"79405.8166805839";"1551412.34931078";"19.3968767110941";2012
"64";"15.6258277757245";"1231.7691261405";"78829.0478955687";"78213.1633324984";"1472006.53263019";"18.6734024059289";2012
"65";"16.928573112817";"1313.61120700391";"77597.2787694282";"76940.4731659262";"1393793.3692977";"17.961884635661";2012
"66";"18.3396733875656";"1399.01754790049";"76283.6675624243";"75584.158788474";"1316852.89613177";"17.2625797659003";2012
"67";"19.9103635926698";"1490.98060929899";"74884.6500145238";"74139.1597098743";"1241268.7373433";"16.5757433212621";2012
"68";"21.6655354826881";"1590.11314870358";"73393.6694052248";"72598.612830873";"1167129.57763342";"15.9023194655851";2012
"69";"23.6055869803025";"1694.96509270835";"71803.5562565212";"70956.073710167";"1094530.96480255";"15.2434088486132";2012
"70";"25.6921387082119";"1801.239648818";"70108.5911638129";"69207.9713394039";"1023574.89109238";"14.599849663228";2012
"71";"27.9400234130853";"1908.5090006148";"68307.3515149949";"67353.0970146875";"954366.919752977";"13.9716574949253";2012
"72";"30.4208419526579";"2019.90869396938";"66398.8425143801";"65388.8881673954";"887013.82273829";"13.3588747807793";2012
"73";"33.1731363891972";"2135.65115221558";"64378.9338204107";"63311.1082443029";"821624.934570894";"12.7623259009363";2012
"74";"36.198636008882";"2253.12193330395";"62243.2826681951";"61116.7217015431";"758313.826326591";"12.1830628755394";2012
"75";"39.4564214038061";"2366.99706203793";"59990.1607348912";"58806.6622038722";"697197.104625048";"11.6218575860482";2012
"76";"42.953841012461";"2475.13621103876";"57623.1636728532";"56385.5955673339";"638390.442421176";"11.0787121312107";2012
"77";"46.7658889646283";"2579.04652889749";"55148.0274618145";"53858.5041973657";"582004.846853842";"10.5535025211343";2012
"78";"50.9357712585873";"2677.6415880961";"52568.980932917";"51230.1601388689";"528146.342656477";"10.0467297117751";2012
"79";"55.4839317297391";"2768.16766611329";"49891.3393448209";"48507.2555117643";"476916.182517608";"9.55909760652908";2012
"80 ou mais";"1000";"47123.1716787076";"47123.1716787076";"428408.927005843";"428408.927005843";"9.09125832884924";2012
"0";"15.022952151381178";"1502.2952151381178";"100000";"98640.526273021591";"7489652.5401293831";"74.896525401293829";2013
"1";"0.93703729661590207";"92.29602301447818";"98497.704784861882";"98451.556773354649";"7391012.0138563616";"75.037403460311765";2013
"2";"0.609674414821889";"59.995260002188104";"98405.4087618474";"98375.411131846311";"7292560.4570830073";"74.107313295469936";2013
"3";"0.46693814977270104";"45.921225419182811";"98345.413501845207";"98322.452889135617";"7194185.0459511606";"73.152217167872095";2013
"4";"0.38482452973016268";"37.828055887989407";"98299.492276426026";"98280.578248482023";"7095862.5930620246";"72.186157107585984";2013
"5";"0.33152604276138453";"32.576300694182905";"98261.664220538034";"98245.376070190949";"6997582.0148135424";"71.213754319367126";2013
"6";"0.29506453665281085";"28.983920312896942";"98229.087919843849";"98214.595959687402";"6899336.6387433512";"70.237205545197526";2013
"7";"0.27019426813114461";"26.533105230555552";"98200.103999530955";"98186.837446915684";"6801122.0427836636";"69.257788594767163";2013
"8";"0.25472372541164223";"25.007137715160166";"98173.570894300399";"98161.067325442826";"6702935.2053367477";"68.276371576149884";2013
"9";"0.24829521310444344";"24.369818553836385";"98148.563756585238";"98136.378847308311";"6604774.1380113047";"67.293640224747151";2013
"10";"0.25205366792647127";"24.732562994409232";"98124.1939380314";"98111.827656534195";"6506637.7591639962";"66.31022888476565";2013
"11";"0.26367520449569298";"25.866395538980214";"98099.46137503699";"98086.528177267493";"6408525.9315074617";"65.326820776390278";2013
"12";"0.29823503876219004";"29.248982400257919";"98073.594979498012";"98058.970488297884";"6310439.4033301938";"64.343918509863656";2013
"13";"0.35341843965383429";"34.650679779174943";"98044.345997097756";"98027.020657208166";"6212380.4328418961";"63.362964683611544";2013
"14";"0.48233014234280513";"47.273030293377232";"98009.695317318576";"97986.058802171887";"6114353.4121846883";"62.385189469151072";2013
"15";"0.77998870105987017";"76.409582512335263";"97962.422287025198";"97924.217495769029";"6016367.3533825167";"61.415052965461072";2013
"16";"0.9711823956400526";"95.065172318021425";"97886.012704512861";"97838.480118353851";"5918443.1358867474";"60.462603107071786";2013
"17";"1.1414094670015029";"111.61951330029446";"97790.947532194841";"97735.137775544688";"5820604.6557683935";"59.520894343028303";2013
"18";"1.2753361618839703";"124.57397929102233";"97679.32801889455";"97617.041029249041";"5722869.5179928485";"58.588338331789593";2013
"19";"1.3789039003571766";"134.51863084359434";"97554.754039603533";"97487.494724181743";"5625252.4769635992";"57.662515090550684";2013
"20";"1.4815359400774037";"144.33158004887912";"97420.235408759938";"97348.069618735492";"5527764.9822394177";"56.741445543072118";2013
