 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Idade da mãe
Idade da mãe: Menor de 10 anos, 10 a 14 anos, 15 a 19 anos, 20 a 24 anos, 25 a 29 anos, 30 a 34 anos, 35 a 39 anos, 40 a 44 anos, 45 a 49 anos, 50 a 54 anos, 55 a 59 anos, 60 a 64 anos, 65 a 69 anos
Período:2016
"Município";"Menor de 10 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"Total"
"261590 Tuparetama";-;1;17;26;35;14;10;1;-;-;-;-;-;104
"261600 Venturosa";-;8;36;59;47;29;14;7;-;-;-;-;-;200
"261610 Verdejante";-;-;31;39;33;17;11;3;-;-;-;-;-;134
"261618 Vertente do Lério";-;1;23;27;27;21;12;4;-;-;-;-;-;115
"261620 Vertentes";-;4;70;84;82;49;16;6;-;-;-;-;-;311
"261630 Vicência";-;4;76;113;77;61;24;5;-;-;-;-;-;360
"261640 Vitória de Santo Antão";-;21;373;570;506;304;153;39;1;-;-;-;-;1967
"261650 Xexéu";-;2;72;61;43;25;13;5;-;-;-;-;-;221
"260000 Município ignorado - PE";-;-;1;-;2;2;1;-;-;-;-;-;-;6
"270010 Água Branca";-;3;76;69;70;36;17;7;-;-;-;-;-;278
"270020 Anadia";-;1;57;71;41;19;17;4;-;-;-;-;-;210
"270030 Arapiraca";-;35;709;1041;930;665;327;70;2;-;-;-;-;3779
"270040 Atalaia";-;12;199;185;106;87;28;9;1;-;-;-;-;627
"270050 Barra de Santo Antônio";-;7;110;100;40;32;6;2;-;-;-;-;-;297
"270060 Barra de São Miguel";-;4;46;48;30;18;8;5;1;-;-;-;-;160
"270070 Batalha";-;-;59;74;62;37;23;6;-;-;-;-;-;261
"270080 Belém";-;1;16;14;26;20;4;2;-;-;-;-;-;83
"270090 Belo Monte";-;3;15;26;28;11;10;2;-;-;-;-;-;95
"270100 Boca da Mata";-;8;83;102;80;54;24;5;-;-;-;-;-;356
"270110 Branquinha";-;10;63;50;33;18;10;2;-;-;-;-;-;186
"270120 Cacimbinhas";-;2;34;39;34;13;10;4;-;-;-;-;-;136
"270130 Cajueiro";-;8;110;98;63;47;18;4;-;-;-;-;-;348
"270135 Campestre";-;-;21;25;13;8;3;-;-;-;-;-;-;70
"270140 Campo Alegre";-;17;145;150;92;59;22;10;-;-;-;-;-;495
"270150 Campo Grande";-;1;40;36;28;27;11;4;-;-;-;-;-;147
"270160 Canapi";-;4;53;64;43;42;21;4;-;-;-;-;-;231
"270170 Capela";-;6;58;64;47;41;19;4;1;-;-;-;-;240
"270180 Carneiros";-;-;29;33;39;22;6;6;-;-;-;-;-;135
"270190 Chã Preta";-;1;27;21;8;18;6;3;-;-;-;-;-;84
"270200 Coité do Nóia";-;1;32;46;31;24;10;1;2;-;-;-;-;147
"270210 Colônia Leopoldina";-;5;95;75;58;21;23;6;-;-;-;-;-;283
"270220 Coqueiro Seco";-;2;20;23;15;13;9;2;-;-;-;-;-;84
"270230 Coruripe";-;13;214;275;170;124;44;11;-;-;-;-;-;851
"270235 Craíbas";-;5;88;99;106;59;33;5;-;-;-;-;-;395
"270240 Delmiro Gouveia";-;16;196;238;179;103;52;10;-;-;-;-;-;794
"270250 Dois Riachos";-;4;29;31;22;12;15;1;-;-;-;-;-;114
"270255 Estrela de Alagoas";-;4;38;49;72;43;17;1;-;-;-;-;-;224
"270260 Feira Grande";-;2;45;96;66;48;13;10;-;-;-;-;-;280
"270270 Feliz Deserto";-;2;26;27;10;4;5;1;-;-;-;-;-;75
"270280 Flexeiras";-;5;69;58;35;30;13;-;-;-;-;-;-;210
"270290 Girau do Ponciano";-;5;102;131;127;80;45;17;1;-;-;-;-;508
"270300 Ibateguara";-;7;62;69;56;33;19;6;-;-;-;-;-;252
"270310 Igaci";-;3;58;92;85;60;25;5;-;-;-;-;-;328
"270320 Igreja Nova";-;1;80;96;78;54;20;5;-;-;-;-;-;334
"270330 Inhapi";-;3;73;79;67;55;23;10;1;-;-;-;-;311
"270340 Jacaré dos Homens";-;5;24;35;12;8;3;2;-;-;-;-;-;89
"270350 Jacuípe";-;2;21;17;10;8;1;-;-;-;-;-;-;59
"270360 Japaratinga";-;5;47;45;28;13;4;-;-;-;-;-;-;142
"270370 Jaramataia";-;-;19;20;26;8;7;1;-;-;-;-;-;81
"270375 Jequiá da Praia";-;4;37;43;19;15;7;2;-;-;-;-;-;127
"270380 Joaquim Gomes";-;7;95;100;58;35;17;7;1;-;-;-;-;320
"270390 Jundiá";-;3;20;17;12;4;2;1;-;-;-;-;-;59
"270400 Junqueiro";-;6;84;88;90;70;27;5;-;-;-;-;-;370
"270410 Lagoa da Canoa";-;2;66;77;56;55;23;6;-;-;-;-;-;285
"270420 Limoeiro de Anadia";-;5;69;84;65;54;18;3;-;-;-;-;-;298
"270430 Maceió";-;189;3055;3809;2997;2511;1253;275;16;2;-;-;-;14107
"270440 Major Isidoro";-;7;58;64;50;37;21;3;-;-;-;-;-;240
"270490 Mar Vermelho";-;-;8;6;8;6;5;1;-;-;-;-;-;34
"270450 Maragogi";-;7;153;134;100;71;17;5;1;-;-;-;-;488
"270460 Maravilha";-;-;33;25;30;15;11;3;-;-;-;-;-;117
"270470 Marechal Deodoro";-;12;238;262;150;121;52;10;2;-;-;-;-;847
"270480 Maribondo";-;3;30;51;34;36;13;2;-;-;-;-;-;169
"270500 Mata Grande";-;3;83;90;62;35;15;8;1;-;-;-;-;297
"270510 Matriz de Camaragibe";-;13;128;120;76;39;19;4;-;-;-;-;-;399
"270520 Messias";-;6;79;80;51;34;12;2;-;-;-;-;-;264
"270530 Minador do Negrão";-;3;13;22;18;12;13;3;1;-;-;-;-;85
"270540 Monteirópolis";-;3;31;25;16;15;10;3;-;-;-;-;-;103
"270550 Murici";-;14;148;119;75;59;24;8;1;-;-;-;-;448
"270560 Novo Lino";-;1;35;46;38;16;8;2;-;-;-;-;-;146
"270570 Olho d'Água das Flores";-;8;88;92;71;51;26;8;-;-;-;-;-;344
"270580 Olho d'Água do Casado";-;1;28;30;22;21;6;4;-;-;-;-;-;112
"270590 Olho d'Água Grande";-;1;23;22;22;21;10;1;-;-;-;-;-;100
"270600 Olivença";-;2;36;55;38;34;13;4;-;-;-;-;-;182
"270610 Ouro Branco";-;2;38;53;41;23;10;2;-;-;-;-;-;169
"270620 Palestina";-;-;21;32;11;9;6;-;-;-;-;-;-;79
"270630 Palmeira dos Índios";-;13;246;342;256;192;78;15;-;-;-;-;-;1142
"270640 Pão de Açúcar";-;4;109;141;72;56;26;9;-;-;-;-;-;417
"270642 Pariconha";-;2;48;43;33;20;14;5;-;-;-;-;-;165
"270644 Paripueira";-;5;77;73;46;25;10;2;-;-;-;-;-;238
"270650 Passo de Camaragibe";-;12;60;63;46;23;8;2;-;-;-;-;-;214
"270660 Paulo Jacinto";-;-;17;22;22;23;5;3;-;-;-;-;-;92
"270670 Penedo";-;11;203;297;201;170;66;13;-;-;-;-;-;961
"270680 Piaçabuçu";-;6;91;94;52;41;11;3;-;-;-;-;-;298
"270690 Pilar";-;16;169;166;111;71;28;10;-;-;-;-;-;571
"270700 Pindoba";-;-;6;11;12;5;1;-;-;-;-;-;-;35
"270710 Piranhas";-;4;116;110;94;59;33;9;-;-;-;-;-;425
"270720 Poço das Trincheiras";-;3;48;62;45;34;20;4;1;1;-;-;-;218
"270730 Porto Calvo";-;12;136;138;79;54;29;4;-;-;-;-;-;452
"270740 Porto de Pedras";-;1;36;44;26;10;4;2;-;-;-;-;-;123
"270750 Porto Real do Colégio";-;4;79;78;69;54;15;9;-;-;-;-;-;308
"270760 Quebrangulo";-;2;59;44;38;30;17;5;1;-;-;-;-;196
"270770 Rio Largo";-;17;328;372;254;153;63;14;1;-;-;-;-;1202
"270780 Roteiro";-;2;34;34;25;12;4;1;1;-;-;-;-;113
"270790 Santa Luzia do Norte";-;-;24;38;17;16;5;2;1;-;-;-;-;103
"270800 Santana do Ipanema";-;9;171;222;165;109;48;24;1;-;-;-;-;749
"270810 Santana do Mundaú";-;3;44;51;44;31;13;2;1;-;-;-;-;189
"270820 São Brás";-;1;20;30;20;12;9;2;-;-;-;-;-;94
"270830 São José da Laje";-;4;113;97;59;41;17;8;-;-;-;-;-;339
"270840 São José da Tapera";-;7;128;135;111;74;34;12;1;-;-;-;-;502
"270850 São Luís do Quitunde";-;9;186;158;107;60;29;9;-;-;-;-;-;558
"270860 São Miguel dos Campos";-;11;201;245;165;129;53;9;2;-;-;-;-;815
"270870 São Miguel dos Milagres";-;4;32;38;20;11;9;1;-;-;-;-;-;115
"270880 São Sebastião";-;7;118;130;101;71;31;6;-;-;-;-;-;464
"270890 Satuba";-;5;60;66;49;36;11;2;-;-;-;-;-;229
"270895 Senador Rui Palmeira";-;1;47;67;47;32;12;3;-;-;-;-;-;209
"270900 Tanque d'Arca";-;1;15;22;16;9;4;2;-;-;-;-;-;69
"270910 Taquarana";-;4;55;77;71;41;21;4;-;-;-;-;-;273
"270915 Teotônio Vilela";-;15;143;179;119;89;27;10;-;-;-;-;-;582
"270920 Traipu";-;5;105;87;64;63;29;5;-;-;-;-;-;358
"270930 União dos Palmares";-;21;249;317;161;137;76;12;1;-;-;-;-;974
"270940 Viçosa";-;3;99;122;89;53;27;9;1;-;-;-;-;403
"270000 Município ignorado - AL";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"280010 Amparo de São Francisco";-;-;6;12;10;10;1;-;-;-;-;-;-;39
"280020 Aquidabã";-;3;63;74;50;26;31;6;-;-;-;-;-;253
"280030 Aracaju";-;76;1301;1969;2004;1959;1264;276;18;-;-;-;-;8867
"280040 Arauá";-;2;27;38;26;23;19;3;-;-;-;-;-;138
"280050 Areia Branca";-;-;55;63;51;50;20;5;-;-;-;-;-;244
"280060 Barra dos Coqueiros";-;8;93;121;131;89;39;11;3;-;-;-;-;495
"280067 Boquim";-;2;56;75;64;57;24;5;-;-;-;-;-;283
"280070 Brejo Grande";-;2;44;37;33;10;7;1;-;-;-;-;-;134
"280100 Campo do Brito";-;4;56;56;44;35;22;2;1;-;-;-;-;220
"280110 Canhoba";-;1;18;26;16;8;2;-;-;-;-;-;-;71
"280120 Canindé de São Francisco";-;7;166;145;111;83;41;16;1;-;-;-;-;570
"280130 Capela";-;10;124;118;126;80;45;13;1;-;-;-;-;517
"280140 Carira";-;3;57;69;48;35;33;6;-;-;-;-;-;251
"280150 Carmópolis";-;7;56;70;51;43;27;8;-;-;-;-;-;262
"280160 Cedro de São João";-;-;14;26;17;15;-;3;-;-;-;-;-;75
"280170 Cristinápolis";-;5;71;90;54;42;30;9;-;-;-;-;-;301
"280190 Cumbe";-;-;12;14;13;7;4;1;-;-;-;-;-;51
"280200 Divina Pastora";-;-;13;20;13;10;2;4;-;-;-;-;-;62
"280210 Estância";-;14;204;277;251;177;82;22;-;-;-;-;-;1027
"280220 Feira Nova";-;1;27;22;13;16;4;1;-;-;-;-;-;84
"280230 Frei Paulo";-;4;48;61;42;35;10;5;3;-;-;-;-;208
"280240 Gararu";-;4;30;33;30;31;8;2;1;-;-;-;-;139
"280250 General Maynard";-;-;9;11;9;6;6;-;-;-;-;-;-;41
"280260 Gracho Cardoso";-;1;14;23;21;16;10;2;1;-;-;-;-;88
"280270 Ilha das Flores";-;3;40;26;34;10;12;4;2;-;-;-;-;131
"280280 Indiaroba";-;3;64;74;58;52;15;5;1;-;-;-;-;272
"280290 Itabaiana";-;12;252;337;303;209;130;27;1;-;-;-;-;1271
"280300 Itabaianinha";-;1;111;180;122;121;56;17;-;-;-;-;-;608
"280310 Itabi";-;1;9;16;15;9;4;4;1;-;-;-;-;59
"280320 Itaporanga d'Ajuda";-;5;140;154;97;94;42;10;-;-;-;-;-;542
"280330 Japaratuba";-;2;39;62;61;31;21;3;-;-;-;-;-;219
"280340 Japoatã";-;5;54;42;41;35;15;6;-;-;-;-;-;198
"280350 Lagarto";-;11;279;371;297;250;127;37;2;-;-;-;-;1374
"280360 Laranjeiras";-;2;93;139;78;66;42;8;-;-;-;-;-;428
"280370 Macambira";-;1;16;35;19;17;5;3;-;-;-;-;-;96
"280380 Malhada dos Bois";-;2;19;16;18;8;6;1;-;-;-;-;-;70
"280390 Malhador";-;4;50;57;26;23;12;9;-;-;-;-;-;181
"280400 Maruim";-;7;62;78;55;32;21;5;-;-;-;-;-;260
"280410 Moita Bonita";-;-;16;35;23;26;14;1;1;-;-;-;-;116
"280420 Monte Alegre de Sergipe";-;4;53;62;57;29;15;4;-;-;-;-;-;224
"280430 Muribeca";-;-;23;28;16;17;3;2;-;-;-;-;-;89
"280440 Neópolis";-;5;79;64;59;43;24;4;-;-;-;-;-;278
"280445 Nossa Senhora Aparecida";-;2;13;27;32;18;7;5;-;-;-;-;-;104
"280450 Nossa Senhora da Glória";-;4;127;155;137;70;40;6;-;-;-;-;-;539
"280460 Nossa Senhora das Dores";-;4;73;92;72;47;25;6;-;-;-;-;-;319
"280470 Nossa Senhora de Lourdes";-;2;23;24;21;13;11;3;-;-;-;-;-;97
"280480 Nossa Senhora do Socorro";-;42;636;816;697;527;265;82;3;-;-;-;-;3068
"280490 Pacatuba";-;-;67;59;52;38;17;5;-;-;-;-;-;238
"280500 Pedra Mole";-;-;12;10;7;7;1;2;-;-;-;-;-;39
"280510 Pedrinhas";-;3;40;29;21;16;6;1;1;-;-;-;-;117
"280520 Pinhão";-;-;20;22;17;6;6;1;-;-;-;-;-;72
"280530 Pirambu";-;2;37;33;37;25;12;5;-;-;-;-;-;151
"280540 Poço Redondo";-;7;118;155;106;51;30;12;1;-;-;-;-;480
"280550 Poço Verde";-;4;59;70;58;43;26;10;-;-;-;-;-;270
"280560 Porto da Folha";-;9;73;97;84;64;17;5;1;-;-;-;-;350
"280570 Propriá";-;14;92;139;114;75;26;13;-;-;-;-;-;473
"280580 Riachão do Dantas";-;2;40;79;52;48;22;7;-;-;-;-;-;250
"280590 Riachuelo";-;2;40;37;31;22;14;3;-;-;-;-;-;149
"280600 Ribeirópolis";-;2;30;38;38;33;23;2;-;-;-;-;-;166
"280610 Rosário do Catete";-;1;35;55;51;36;13;4;-;-;-;-;-;195
"280620 Salgado";-;2;59;64;60;47;30;13;1;-;-;-;-;276
"280630 Santa Luzia do Itanhy";-;4;52;64;34;28;10;5;2;-;-;-;-;199
"280650 Santa Rosa de Lima";-;-;11;23;17;11;4;6;-;-;-;-;-;72
"280640 Santana do São Francisco";-;4;26;27;23;19;3;3;1;-;-;-;-;106
"280660 Santo Amaro das Brotas";-;3;44;43;34;29;18;4;-;-;-;-;-;175
"280670 São Cristóvão";-;18;260;345;312;240;116;33;6;-;-;-;-;1330
"280680 São Domingos";-;2;31;32;30;18;12;3;-;-;-;-;-;128
"280690 São Francisco";-;-;16;8;11;6;2;1;-;-;-;-;-;44
"280700 São Miguel do Aleixo";-;-;11;10;12;6;3;1;-;-;-;-;-;43
"280710 Simão Dias";-;5;125;161;129;109;44;24;3;-;1;-;-;601
"280720 Siriri";-;3;20;29;12;13;10;2;-;-;-;-;-;89
"280730 Telha";-;2;12;7;8;3;1;2;-;-;-;-;-;35
"280740 Tobias Barreto";-;4;117;168;124;128;54;26;-;1;-;1;-;623
"280750 Tomar do Geru";-;6;40;45;24;30;24;4;2;-;-;-;-;175
"280760 Umbaúba";-;4;91;130;75;69;32;7;1;-;-;-;-;409
"290010 Abaíra";-;-;5;11;17;9;3;4;-;-;-;-;-;49
"290020 Abaré";-;6;78;65;47;40;15;7;-;-;-;-;-;258
"290030 Acajutiba";-;2;34;55;30;32;16;3;-;-;-;-;-;172
"290035 Adustina";-;1;32;36;36;22;9;4;-;-;-;-;-;140
"290040 Água Fria";-;4;36;29;42;41;14;8;-;-;-;-;-;174
"290060 Aiquara";-;1;12;13;12;16;3;2;-;-;-;-;-;59
"290070 Alagoinhas";-;23;411;604;528;516;276;65;4;-;1;-;-;2428
"290080 Alcobaça";-;5;76;96;64;36;18;4;-;-;-;-;-;299
"290090 Almadina";-;2;18;15;19;9;9;1;-;-;-;-;-;73
"290100 Amargosa";-;6;78;134;99;90;34;20;1;-;-;-;-;462
"290110 Amélia Rodrigues";-;4;43;57;50;40;30;4;-;-;-;-;-;228
"290115 América Dourada";-;2;56;87;40;42;18;6;1;-;-;-;-;252
"290120 Anagé";-;1;36;59;51;53;22;5;1;-;-;-;-;228
"290130 Andaraí";-;2;38;34;36;27;5;3;-;-;-;-;-;145
"290135 Andorinha";-;3;48;58;27;29;9;3;-;-;-;-;-;177
"290140 Angical";-;3;28;51;56;34;20;1;-;-;-;-;-;193
"290150 Anguera";-;1;19;18;19;14;5;3;1;-;-;-;-;80
"290160 Antas";-;1;37;43;26;21;10;3;1;-;-;-;-;142
"290170 Antônio Cardoso";-;1;19;39;35;23;13;6;-;-;-;-;-;136
"290180 Antônio Gonçalves";-;2;26;26;26;20;11;5;-;-;-;-;-;116
"290190 Aporá";-;5;43;62;45;28;20;7;-;-;-;-;-;210
"290195 Apuarema";-;3;18;26;17;11;5;1;-;-;-;-;-;81
"290205 Araças";-;1;33;43;46;42;14;5;1;-;-;-;-;185
"290200 Aracatu";-;1;19;41;39;30;22;6;1;-;-;-;-;159
"290210 Araci";-;8;181;192;137;98;65;22;5;-;-;-;-;708
"290220 Aramari";-;1;37;37;26;21;17;3;-;-;-;-;-;142
"290225 Arataca";-;4;34;42;28;13;7;2;1;-;-;-;-;131
"290230 Aratuípe";-;1;26;28;36;20;14;2;-;-;-;-;-;127
"290240 Aurelino Leal";-;4;70;50;47;24;11;2;-;-;-;-;-;208
"290250 Baianópolis";-;1;32;54;44;31;9;1;-;-;-;-;-;172
"290260 Baixa Grande";-;2;46;54;49;44;19;6;1;-;-;-;-;221
"290265 Banzaê";-;3;38;40;40;24;24;4;1;-;-;-;-;174
"290270 Barra";-;11;207;257;184;135;55;17;2;-;-;-;-;868
"290280 Barra da Estiva";-;3;77;99;103;87;41;7;-;-;-;-;-;417
"290290 Barra do Choça";-;7;126;130;123;110;46;17;1;-;-;-;-;560
"290300 Barra do Mendes";-;3;43;42;43;33;15;6;-;-;-;-;-;185
"290310 Barra do Rocha";-;1;15;19;17;6;5;2;-;-;-;-;-;65
"290320 Barreiras";-;21;430;634;630;563;242;49;1;-;-;-;-;2570
"290323 Barro Alto";-;3;43;44;34;28;10;1;-;-;-;-;-;163
"290330 Barro Preto";-;3;25;26;19;12;7;3;-;-;-;-;-;95
"290327 Barrocas";-;3;32;46;55;34;21;2;-;-;-;-;-;193
"290340 Belmonte";-;4;95;86;51;36;9;1;1;1;-;-;-;284
"290350 Belo Campo";-;2;39;44;54;45;26;6;-;-;-;-;-;216
"290360 Biritinga";-;2;45;42;43;32;25;6;1;-;-;-;-;196
"290370 Boa Nova";-;2;43;45;40;20;12;2;-;-;-;-;-;164
"290380 Boa Vista do Tupim";-;5;50;74;53;41;17;6;1;-;-;-;-;247
"290390 Bom Jesus da Lapa";-;16;220;280;308;195;95;27;1;-;-;-;-;1142
"290395 Bom Jesus da Serra";-;2;23;40;25;19;15;3;-;-;-;-;-;127
"290400 Boninal";-;1;31;42;29;25;20;3;1;-;-;-;-;152
"290405 Bonito";-;5;84;62;35;28;16;3;-;-;-;-;-;233
"290410 Boquira";-;3;62;68;63;43;21;6;-;-;-;-;-;266
"290420 Botuporã";-;1;21;38;38;27;7;4;-;-;-;-;-;136
"290430 Brejões";-;-;33;31;35;29;17;5;-;-;-;-;-;150
"290440 Brejolândia";-;-;19;22;18;16;2;1;-;-;-;-;-;78
"290450 Brotas de Macaúbas";-;1;30;34;17;22;14;7;1;-;-;-;-;126
"290460 Brumado";-;4;126;179;218;205;98;19;-;-;-;-;-;849
"290470 Buerarema";-;6;66;69;49;38;14;3;-;-;-;-;-;245
"290475 Buritirama";-;7;58;80;64;52;18;6;1;-;-;-;-;286
"290480 Caatiba";-;1;12;30;16;11;10;4;-;-;-;-;-;84
"290485 Cabaceiras do Paraguaçu";-;2;42;70;50;48;16;7;1;-;-;-;-;236
"290490 Cachoeira";-;3;72;122;86;79;50;11;1;-;-;-;-;424
"290500 Caculé";-;4;41;74;78;66;33;7;-;-;-;-;-;303
"290510 Caém";-;2;31;32;19;20;11;4;-;-;-;-;-;119
"290515 Caetanos";-;-;28;33;36;24;10;1;-;-;-;-;-;132
"290520 Caetité";-;6;110;168;191;136;70;14;1;-;-;-;-;696
"290530 Cafarnaum";-;6;64;83;56;38;24;3;-;-;-;-;-;274
"290540 Cairu";-;2;74;81;68;44;25;5;2;-;-;-;-;301
"290550 Caldeirão Grande";-;4;51;59;38;25;16;2;-;-;-;-;-;195
"290560 Camacan";-;8;103;107;68;51;36;7;-;-;-;-;-;380
"290570 Camaçari";-;32;687;942;1022;935;491;113;6;-;-;-;-;4228
"290580 Camamu";-;9;159;162;100;71;40;11;1;-;-;-;-;553
"290590 Campo Alegre de Lourdes";-;5;100;135;98;79;25;6;2;-;-;-;-;450
"290600 Campo Formoso";-;16;257;303;280;164;96;28;4;-;-;-;-;1148
"290610 Canápolis";-;-;23;51;30;20;7;3;-;-;-;-;-;134
"290620 Canarana";-;1;97;89;68;75;22;4;1;-;-;-;-;357
"290630 Canavieiras";-;12;142;138;103;57;35;7;2;-;-;-;-;496
"290640 Candeal";-;-;14;21;26;21;13;1;1;-;-;-;-;97
"290650 Candeias";-;13;171;236;236;233;108;20;-;-;-;-;-;1017
"290660 Candiba";-;1;22;33;40;23;13;5;-;-;-;-;-;137
"290670 Cândido Sales";-;3;66;93;93;59;39;6;1;-;-;-;-;360
"290680 Cansanção";-;7;127;115;106;72;40;9;-;-;-;-;-;476
"290682 Canudos";-;1;55;64;46;30;10;3;-;-;-;-;-;209
"290685 Capela do Alto Alegre";-;-;19;25;24;19;8;1;-;-;-;-;-;96
"290687 Capim Grosso";-;10;89;137;118;84;38;16;1;-;-;-;-;493
"290689 Caraíbas";-;-;13;30;24;17;9;5;-;-;-;-;-;98
"290690 Caravelas";-;5;73;77;61;38;20;3;1;-;-;-;-;278
"290700 Cardeal da Silva";-;1;36;35;25;12;8;1;-;-;-;-;-;118
"290710 Carinhanha";-;6;90;125;104;71;39;13;-;-;-;-;-;448
"290720 Casa Nova";-;18;253;283;222;142;59;19;1;-;-;-;-;997
"290730 Castro Alves";-;4;70;87;59;59;36;2;1;-;-;-;-;318
"290740 Catolândia";-;-;10;10;13;8;4;-;-;-;-;-;-;45
"290750 Catu";-;5;101;142;141;134;56;15;1;-;-;-;-;595
"290755 Caturama";-;-;17;35;28;25;6;2;-;-;-;-;-;113
"290760 Central";-;2;45;60;45;34;18;6;2;-;-;-;-;212
"290770 Chorrochó";-;2;25;41;41;24;15;7;-;-;-;-;-;155
"290780 Cícero Dantas";-;3;73;89;80;50;31;11;-;-;-;-;-;337
"290790 Cipó";-;3;46;73;66;59;21;5;-;-;-;-;-;273
"290800 Coaraci";-;5;86;58;44;33;25;4;-;-;-;-;-;255
"290810 Cocos";-;3;37;65;64;40;15;6;1;-;-;-;-;231
"290820 Conceição da Feira";-;1;52;43;43;42;18;7;1;-;-;-;-;207
"290830 Conceição do Almeida";-;1;33;51;31;37;19;6;2;-;-;-;-;180
"290840 Conceição do Coité";-;7;202;263;254;214;82;26;-;-;-;-;-;1048
"290850 Conceição do Jacuípe";-;2;70;92;89;66;37;12;2;-;-;-;-;370
"290860 Conde";-;2;71;89;58;66;23;7;2;-;-;-;-;318
"290870 Condeúba";-;2;29;34;61;44;35;7;-;-;-;-;-;212
"290880 Contendas do Sincorá";-;-;1;7;10;13;5;2;-;-;-;-;-;38
"290890 Coração de Maria";-;2;43;74;57;52;26;7;-;-;-;-;-;261
"290900 Cordeiros";-;1;8;28;17;19;11;2;1;-;-;-;-;87
"290910 Coribe";-;3;36;47;47;34;10;1;-;-;-;-;-;178
"290920 Coronel João Sá";-;1;48;60;38;23;15;6;-;-;-;-;-;191
"290930 Correntina";-;1;90;121;113;73;26;7;-;-;-;-;-;431
"290940 Cotegipe";-;4;28;45;40;21;13;2;1;-;-;-;-;154
"290950 Cravolândia";-;1;16;15;18;12;4;1;-;-;-;-;-;67
"290960 Crisópolis";-;2;53;66;61;65;21;6;-;-;-;-;-;274
"290970 Cristópolis";-;2;34;29;43;26;13;4;-;-;-;-;-;151
"290980 Cruz das Almas";-;9;98;186;193;183;102;25;1;-;-;-;-;797
"290990 Curaçá";-;11;86;143;92;83;46;16;-;-;-;-;-;477
"291000 Dário Meira";-;3;64;39;31;20;12;1;-;-;-;-;-;170
"291005 Dias d'Ávila";-;11;212;274;326;241;94;31;2;-;-;-;-;1191
"291010 Dom Basílio";-;-;21;42;39;21;10;-;-;-;-;-;-;133
"291020 Dom Macedo Costa";-;2;9;13;13;12;8;1;-;-;-;-;-;58
"291030 Elísio Medrado";-;-;12;16;13;18;7;1;-;-;-;-;-;67
"291040 Encruzilhada";-;4;59;74;53;45;30;8;1;1;-;-;-;275
"291050 Entre Rios";-;8;132;149;115;92;46;14;2;-;-;-;-;558
"290050 Érico Cardoso";-;3;18;27;36;16;14;4;-;-;-;-;-;118
"291060 Esplanada";-;7;112;145;84;66;34;8;1;-;-;-;-;457
"291070 Euclides da Cunha";-;7;155;211;162;121;65;23;-;1;-;-;-;745
"291072 Eunápolis";-;23;393;447;424;301;165;31;1;1;-;-;-;1786
"291075 Fátima";-;-;44;56;41;33;20;4;-;-;-;-;-;198
"291077 Feira da Mata";-;-;9;8;18;9;4;3;-;-;-;-;-;51
"291080 Feira de Santana";-;76;1511;2481;2444;2181;1219;294;16;-;-;-;-;10222
"291085 Filadélfia";-;1;60;70;57;36;24;2;1;-;-;-;-;251
"291090 Firmino Alves";-;-;16;12;18;10;3;3;-;-;-;-;-;62
"291100 Floresta Azul";-;4;28;46;23;17;7;5;-;-;-;-;-;130
"291110 Formosa do Rio Preto";-;8;100;143;98;80;25;5;-;-;-;-;-;459
"291120 Gandu";-;8;115;112;114;66;30;5;-;-;-;-;-;450
"291125 Gavião";-;1;9;8;8;10;7;2;-;-;-;-;-;45
"291130 Gentio do Ouro";-;4;30;25;29;25;9;1;1;-;-;-;-;124
"291140 Glória";-;3;39;68;59;37;20;4;-;-;-;-;-;230
"291150 Gongogi";-;-;23;24;19;12;7;4;-;-;-;-;-;89
"291160 Governador Mangabeira";-;5;48;52;50;57;24;10;-;-;-;-;-;246
"291165 Guajeru";-;-;12;25;24;16;10;1;1;-;-;-;-;89
"291170 Guanambi";-;7;129;275;334;256;148;29;2;-;-;-;-;1180
"291180 Guaratinga";-;2;55;53;51;22;17;4;-;-;-;-;-;204
"291185 Heliópolis";-;1;19;37;23;23;7;2;-;-;-;-;-;112
"291190 Iaçu";-;5;115;110;81;57;25;5;2;-;-;-;-;400
"291200 Ibiassucê";-;-;9;17;30;28;9;2;-;-;-;-;-;95
"291210 Ibicaraí";-;4;67;66;57;41;22;3;1;-;-;-;-;261
"291220 Ibicoara";-;3;70;82;76;46;29;3;1;-;-;-;-;310
"291230 Ibicuí";-;3;33;38;39;21;17;4;-;-;-;-;-;155
"291240 Ibipeba";-;2;47;51;47;38;23;5;-;-;-;-;-;213
"291250 Ibipitanga";-;-;26;44;37;32;15;8;-;-;-;-;-;162
"291260 Ibiquera";-;4;17;19;10;7;3;3;-;-;-;-;-;63
"291270 Ibirapitanga";-;13;113;106;79;46;30;3;-;-;-;-;-;390
"291280 Ibirapuã";-;2;24;33;31;27;13;1;-;-;-;-;-;131
"291290 Ibirataia";-;6;75;82;74;52;20;6;-;-;-;-;-;315
"291300 Ibitiara";-;1;33;39;37;33;25;6;2;-;-;-;-;176
