 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Idade da mãe
Idade da mãe: Menor de 10 anos, 10 a 14 anos, 15 a 19 anos, 20 a 24 anos, 25 a 29 anos, 30 a 34 anos, 35 a 39 anos, 40 a 44 anos, 45 a 49 anos, 50 a 54 anos, 55 a 59 anos, 60 a 64 anos, 65 a 69 anos
Período:2016
"Município";"Menor de 10 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"Total"
"412250 Roncador";-;4;32;44;48;22;11;1;-;-;-;-;-;162
"412260 Rondon";-;-;14;40;33;21;6;3;-;-;-;-;-;117
"412265 Rosário do Ivaí";-;-;10;15;15;14;4;2;-;-;-;-;-;60
"412270 Sabáudia";-;1;22;27;30;23;11;1;-;-;-;-;-;115
"412280 Salgado Filho";-;-;12;13;11;17;6;1;-;-;-;-;-;60
"412290 Salto do Itararé";-;-;11;15;12;8;5;-;-;-;-;-;-;51
"412300 Salto do Lontra";-;-;37;37;45;29;13;5;1;-;-;-;-;167
"412310 Santa Amélia";-;-;8;9;18;6;3;-;-;-;-;-;-;44
"412320 Santa Cecília do Pavão";-;-;6;12;9;10;7;-;-;-;-;-;-;44
"412330 Santa Cruz de Monte Castelo";-;1;14;28;32;16;11;5;-;-;-;-;-;107
