"cod_mun";"n_bpc_cadunico";"comdireito_a_bpc";"desv_pad_n_bpc_cadunico";"desv_pad_bpc";"Município";"idosos";"Total";"prop_idosos_cadunico";"direito_bpc_prop_idosos";"ano"
"320510";0;97,2153032740646;0;24,1532883215896;"Viana";3471;70890;0,028007866111802;0,028007866111802;2012
"320515";NA;NA;NA;NA;"Vila Pavão";710;9223;NA;NA;2012
"320517";0;16,2031551405988;0;9,35488359353682;"Vila Valério";938;14592;0,0172741526019177;0,0172741526019177;2012
"320520";0;864,176918141501;0;72,8635705227142;"Vila Velha";31497;451161;0,0274368009061657;0,0274368009061657;2012
"320530";0;826,360912170541;0;73,0628617675521;"Vitória";28482;353043;0,0290134440057068;0,0290134440057068;2012
"320010";0;59,1877200509751;0;19,4003774513496;"Afonso Cláudio";3066;32551;0,0193045401340428;0,0193045401340428;2013
"320013";0;5,38126182281592;0;5,38126182273421;"Águia Branca";829;10045;0,00649126878506142;0,00649126878506142;2013
"320016";0;21,5250472912637;0;10,7624994034705;"Água Doce do Norte";1164;12164;0,0184923086694705;0,0184923086694705;2013
"320020";0;32,2875709368955;0;15,2204669077263;"Alegre";3353;32267;0,0096294574819253;0,0096294574819253;2013
"320030";NA;NA;NA;NA;"Alfredo Chaves";1475;14859;NA;NA;2013
"320035";0;10,7625236456318;0;7,61024773870911;"Alto Rio Novo";611;7841;0,0176146049846675;0,0176146049846675;2013
"320040";0;43,0500945825274;0;17,0169750514124;"Anchieta";1929;26658;0,0223173118623781;0,0223173118623781;2013
"320050";0;26,9063091140796;0;12,0328311031303;"Apiacá";886;7916;0,0303682947111508;0,0303682947111508;2013
"320060";0;344,418420660219;0;47,5281685049353;"Aracruz";4920;91562;0,0700037440366299;0,0700037440366299;2013
"320070";0;5,38126182281592;0;5,38126182273421;"Atilio Vivacqua";873;10862;0,00616410288982351;0,00616410288982351;2013
"320080";0;129,164587747582;0;28,4780495299267;"Baixo Guandu";3021;31126;0,0427555735675545;0,0427555735675545;2013
"320090";0;269,082491140796;0;39,5466783971766;"Barra de São Francisco";3657;43882;0,0735801178946667;0,0735801178946667;2013
"320100";0;48,4313564053433;0;17,8475410910352;"Boa Esperança";1174;15169;0,0412532848427115;0,0412532848427115;2013
"320110";0;10,7625236456318;0;7,61024773870911;"Bom Jesus do Norte";1020;10095;0,0105514937702273;0,0105514937702273;2013
"320115";0;5,38126182281592;0;5,38126182273421;"Brejetuba";607;12669;0,00886534072951552;0,00886534072951552;2013
"320120";0;414,362165356826;0;50,1932804903444;"Cachoeiro de Itapemirim";15835;205213;0,0261674875501627;0,0261674875501627;2013
"320130";0;1210,78773513358;0;89,2365008509421;"Cariacica";22804;375974;0,0530954102409043;0,0530954102409043;2013
"320140";NA;NA;NA;NA;"Castelo";3581;37331;NA;NA;2013
"320150";0;150,680175038846;0;30,4419086951526;"Colatina";9843;120677;0,0153083587360404;0,0153083587360404;2013
"320160";0;129,149779747582;0;27,4389840075431;"Conceição da Barra";1925;30659;0,0670907946740686;0,0670907946740686;2013
"320170";0;32,2875709368955;0;13,1812961543894;"Conceição do Castelo";1100;12579;0,0293523372153596;0,0293523372153596;2013
"320180";NA;NA;NA;NA;"Divino de São Lourenço";317;4688;NA;NA;2013
"320190";0;16,1437854684478;0;9,32060489006832;"Domingos Martins";2798;34059;0,00576975892367683;0,00576975892367683;2013
"320200";NA;NA;NA;NA;"Dores do Rio Preto";507;6827;NA;NA;2013
"320210";0;209,856575089821;0;36,0962896453358;"Ecoporanga";2192;24327;0,0957374886358672;0,0957374886358672;2013
"320220";NA;NA;NA;NA;"Fundão";1597;19177;NA;NA;2013
"320225";NA;NA;NA;NA;"Governador Lindenberg";970;11953;NA;NA;2013
"320230";0;43,0500945825274;0;15,2204269105649;"Guaçuí";2771;30144;0,0155359417475739;0,0155359417475739;2013
"320240";0;150,684711038846;0;30,4428250977625;"Guarapari";8514;116278;0,0176984626543159;0,0176984626543159;2013
"320245";0;32,2875709368955;0;13,1812961543894;"Ibatiba";1788;24575;0,0180579255799192;0,0180579255799192;2013
"320250";0;10,7625236456318;0;7,61024773870911;"Ibiraçu";988;12124;0,0108932425563075;0,0108932425563075;2013
"320255";0;16,1437854684478;0;9,32060489006832;"Ibitirama";635;9400;0,0254232842022799;0,0254232842022799;2013
"320260";0;10,7625236456318;0;10,7625236454684;"Iconha";1165;13548;0,00923821772157239;0,00923821772157239;2013
"320265";0;5,38126182281592;0;5,38126182273421;"Irupi";902;12798;0,00596592219824381;0,00596592219824381;2013
"320270";0;10,7625236456318;0;7,61024773870911;"Itaguaçu";1736;14844;0,00619961039494922;0,00619961039494922;2013
"320280";0;258,310503495164;0;40,2710358764535;"Itapemirim";2455;33610;0,105218127696605;0,105218127696605;2013
