"";"local";"Tx de Cobertura Bruta - Creche";"Tx de Cobertura Efetiva - Creche";"Tx de Cobertura - Pré-escola";"Tx de Cobertura efetiva  - Pré-escola";"Creches e Pre-escolas / 1.000 crianças de 0 a 6";"Creches e Pré-escolas públicas (% do total)";"Nº de alunos por turma"
"23";"Domingos Martins - ES";"0.395300621976503";"0.38217000691085";"0.987442922374429";"0.896118721461187";"12.5448028673835";"0.971428571428571";"14.37"
"24";"Dores do Rio Preto - ES";"0.134110787172012";"0.116618075801749";"1.19480519480519";"1.07792207792208";"8.9126559714795";"1";"17.4615384615385"
"25";"Ecoporanga - ES";"0.558415841584158";"0.533663366336634";"0.982456140350877";"0.863157894736842";"9.48866631523458";"1";"19.5961538461538"
"26";"Fundão - ES";"0.292660550458716";"0.261467889908257";"1.03413654618474";"0.939759036144578";"3.28407224958949";"1";"16.68"
"27";"Governador Lindenberg - ES";"0.326949384404925";"0.305061559507524";"1.1353711790393";"1.04366812227074";"7.47663551401869";"1";"8.04838709677419"
"28";"Guaçuí - ES";"0.416264645072364";"0.390764989662302";"0.866369710467706";"0.789532293986637";"5.72041473006793";"0.875";"13.959595959596"
"29";"Guarapari - ES";"0.394375199744327";"0.375519335250879";"1.02723242558581";"0.921469284357188";"4.20920651979223";"0.787234042553192";"16.5610465116279"
"30";"Ibatiba - ES";"0.162464985994398";"0.165966386554622";"1.07389937106918";"0.94811320754717";"5.82847626977519";"0.928571428571429";"18"
"31";"Ibiraçu - ES";"0.558303886925795";"0.512367491166078";"1.00322580645161";"0.938709677419355";"8.67888138862102";"0.888888888888889";"11.1964285714286"
"32";"Ibitirama - ES";"0.474509803921569";"0.441176470588235";"0.907473309608541";"0.790035587188612";"9.63597430406852";"1";"11.2093023255814"
"33";"Iconha - ES";"0.5";"0.46177370030581";"1.02491103202847";"0.932384341637011";"8.36431226765799";"1";"13.9772727272727"
"34";"Irupi - ES";"0.327407407407407";"0.308148148148148";"1.00313479623824";"0.921630094043887";"9.50734658599827";"1";"16.3939393939394"
"35";"Itaguaçu - ES";"0.403508771929825";"0.382456140350877";"1.1984126984127";"1.09920634920635";"11.3052415210689";"1";"11.3191489361702"
"36";"Itapemirim - ES";"0.616684266103485";"0.57286166842661";"1.15826612903226";"1.0625";"10.455997676445";"1";"16.3169014084507"
"37";"Itarana - ES";"0.627272727272727";"0.586363636363636";"1.12953367875648";"1.03108808290155";"17.5438596491228";"1";"16.1818181818182"
"38";"Iúna - ES";"0.197701149425287";"0.198275862068966";"1.16360856269113";"1.03516819571865";"7.59493670886076";"0.904761904761905";"13.641975308642"
"39";"Jaguaré - ES";"0.406267179769104";"0.373831775700935";"0.959908361970218";"0.868270332187858";"5.61622464898596";"0.944444444444444";"19.2368421052632"
"40";"Jerônimo Monteiro - ES";"0.317307692307692";"0.278846153846154";"1.05284552845528";"0.939024390243902";"5.61797752808989";"1";"15.7037037037037"
"41";"João Neiva - ES";"0.482412060301508";"0.447236180904523";"0.918269230769231";"0.822115384615385";"7.06214689265537";"0.9";"13.6785714285714"
"42";"Laranja da Terra - ES";"0.174712643678161";"0.15632183908046";"1.28795811518325";"1.15706806282723";"16.6435506241331";"1";"16.9473684210526"
"43";"Linhares - ES";"0.453448105273573";"0.414860987434451";"0.97416509136736";"0.880697332493174";"3.02684180468304";"0.867924528301887";"14.1627906976744"
"44";"Mantenópolis - ES";"0.353216374269006";"0.321637426900585";"0.997084548104956";"0.921282798833819";"7.99418604651163";"1";"13.7826086956522"
